SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,PRICE PER BED,PRICE PER SQUARE FOOT
MLS Listing,,Multi-Family (2-4 Unit),410 Loring Ave,Salem,MA,1970,570000.0,6,2.0,Salem,2590,6100.0,1929.0,4,220.0,,Active,,,http://www.redfin.com/MA/Salem/410-Loring-Ave-01970/home/8387166,MLS PIN,72214924,N,Y,42.4911686,-70.89548990000002,3420000.0,1476300000.0
MLS Listing,,Multi-Family (5+ Unit),21 -23 NELSON St,Quincy,MA,2169,849900.0,4,5.0,West Quincy,2808,9700.0,1915.0,66,303.0,,Active,,,http://www.redfin.com/MA/Quincy/23-Nelson-St-02169/home/123715919,MLS PIN,72182861,N,Y,42.2444669,-71.0186144,3399600.0,2386519200.0
MLS Listing,,Multi-Family (2-4 Unit),147 Springvale Ave,Everett,MA,2149,679900.0,5,2.0,Everett,2297,3184.0,1930.0,2,296.0,,Active,,,http://www.redfin.com/MA/Everett/147-Springvale-Ave-02149/home/8529278,MLS PIN,72215906,N,Y,42.411089000000004,-71.034851,3399500.0,1561730300.0
MLS Listing,,Multi-Family (2-4 Unit),68 Converse Ave,Malden,MA,2148,675000.0,5,2.0,Bell Rock,2788,8592.0,1900.0,4,242.0,,Active,,,http://www.redfin.com/MA/Malden/68-Converse-Ave-02148/home/11392215,MLS PIN,72214293,N,Y,42.41668789999999,-71.0686409,3375000.0,1881900000.0
MLS Listing,,Multi-Family (2-4 Unit),23 Bucklin St,North Attleboro,MA,2760,479900.0,7,3.0,North Attleboro,3397,18000.0,1900.0,19,141.0,,Active,,,http://www.redfin.com/MA/North-Attleborough/23-Bucklin-St-02760/home/16059555,MLS PIN,72206614,N,Y,41.9745477,-71.33704759999999,3359300.0,1630220300.0
MLS Listing,,Multi-Family (2-4 Unit),504 Warren St,Boston,MA,2121,665000.0,5,3.5,Boston,6000,5605.0,1900.0,6,111.0,,Active,,,http://www.redfin.com/MA/Boston/504-Warren-St-02121/home/9223931,MLS PIN,72213473,N,Y,42.3143719,-71.08342309999999,3325000.0,3990000000.0
MLS Listing,,Multi-Family (2-4 Unit),181 Henry Ave,Lynn,MA,1902,549900.0,6,2.0,Lynn,2488,5500.0,1910.0,38,221.0,,Active,,,http://www.redfin.com/MA/Lynn/181-Henry-Ave-01902/home/11575124,MLS PIN,72197453,N,Y,42.472976,-70.9517329,3299400.0,1368151200.0
MLS Listing,,Multi-Family (2-4 Unit),21 Middleton St,Boston,MA,2124,549900.0,6,2.0,Dorchester,2234,2444.0,1905.0,77,246.0,,Active,,,http://www.redfin.com/MA/Boston/21-Middleton-St-02124/home/9100977,MLS PIN,72175818,N,Y,42.283480700000005,-71.08647090000001,3299400.0,1228476600.0
MLS Listing,,Multi-Family (2-4 Unit),573 Lincoln Ave,Saugus,MA,1906,549900.0,6,2.0,Saugus,2574,6499.0,1920.0,24,214.0,,Active,,,http://www.redfin.com/MA/Saugus/573-Lincoln-Ave-01906/home/8365322,MLS PIN,72204404,N,Y,42.445957299999996,-71.01197590000001,3299400.0,1415442600.0
MLS Listing,,Multi-Family (2-4 Unit),43 Pleasant St,Quincy,MA,2169,649000.0,5,3.0,Quincy,2177,7437.0,1900.0,60,298.0,,Active,,,http://www.redfin.com/MA/Quincy/43-Pleasant-St-02169/home/11496683,MLS PIN,72186953,N,Y,42.242757399999995,-71.0071186,3245000.0,1412873000.0
